StudentName,RollId,RegistrationId,StudentEmail,Gender,Department,Section,Series,DOB,FatherName,MotherName,Contact,Status
Alyssa Campbell,2010032,1086,2010032@student.ruet.ac.bd,Female,ECE,A,2020,1994-06-08,Test,Test,01912153465,1
Jacob Parker,2010033,1087,2010033@student.ruet.ac.bd,Male,ECE,A,2020,1993-09-21,Test,Test,01912153465,1
Sophia Evans,2010034,1088,2010034@student.ruet.ac.bd,Female,ECE,A,2020,1992-12-02,Test,Test,01912153465,1
Alexander Roberts,2010035,1089,2010035@student.ruet.ac.bd,Male,ECE,A,2020,1991-03-05,Test,Test,01912153465,1
Chloe Ramirez,2010036,1090,2010036@student.ruet.ac.bd,Female,ECE,A,2020,1990-06-27,Test,Test,01912153465,1
Mason Rivera,2010037,1091,2010037@student.ruet.ac.bd,Male,ECE,A,2020,1995-09-09,Test,Test,01912153465,1
Isabella Campbell,2010038,1092,2010038@student.ruet.ac.bd,Female,ECE,A,2020,1994-12-20,Test,Test,01912153465,1
LiamKelly,2010039,1093,2010039@student.ruet.ac.bd,Male,ECE,A,2020,1993-03-03,Test,Test,01912153465,1
Abigail Flores,2010040,1094,2010040@student.ruet.ac.bd,Female,ECE,A,2020,1992-06-12,Test,Test,01912153465,1
Evan Sanders,2010041,1095,2010041@student.ruet.ac.bd,Male,ECE,A,2020,1991-09-25,Test,Test,01912153465,1
Mia Price,2010042,1096,2010042@student.ruet.ac.bd,Female,ECE,A,2020,1990-12-06,Test,Test,01912153465,1
Aiden Bennett,2010043,1097,2010043@student.ruet.ac.bd,Male,ECE,A,2020,1995-04-08,Test,Test,01912153465,1
Ella Lee,2010044,1098,2010044@student.ruet.ac.bd,Female,ECE,A,2020,1994-07-11,Test,Test,01912153465,1
Lucas Jenkins,2010045,1099,2010045@student.ruet.ac.bd,Male,ECE,A,2020,1993-10-24,Test,Test,01912153465,1
Grace Richardson,2010046,1100,2010046@student.ruet.ac.bd,Female,ECE,A,2020,1992-01-15,Test,Test,01912153465,1
Noah Barnes,2010047,1101,2010047@student.ruet.ac.bd,Male,ECE,A,2020,1991-04-28,Test,Test,01912153465,1
Ava Ross,2010048,1102,2010048@student.ruet.ac.bd,Female,ECE,A,2020,1990-08-10,Test,Test,01912153465,1
Logan Peterson,2010049,1103,2010049@student.ruet.ac.bd,Male,ECE,A,2020,1995-11-23,Test,Test,01912153465,1
Emily Morgan,2010050,1104,2010050@student.ruet.ac.bd,Female,ECE,A,2020,1994-02-05,Test,Test,01912153465,1
Dylan Scott,2010051,1105,2010051@student.ruet.ac.bd,Male,ECE,A,2020,1993-05-18,Test,Test,01912153465,1
Madison White,2010052,1106,2010052@student.ruet.ac.bd,Female,ECE,A,2020,1992-08-30,Test,Test,01912153465,1
Jackson Nelson,2010053,1107,2010053@student.ruet.ac.bd,Male,ECE,A,2020,1991-11-12,Test,Test,01912153465,1
Lily Thomas,2010054,1108,2010054@student.ruet.ac.bd,Female,ECE,A,2020,1990-03-25,Test,Test,01912153465,1
Ryan Allen,2010055,1109,2010055@student.ruet.ac.bd,Male,ECE,A,2020,1995-06-07,Test,Test,01912153465,1
Natalie King,2010056,1110,2010056@student.ruet.ac.bd,Female,ECE,A,2020,1994-09-19,Test,Test,01912153465,1
Brayden Wright,2010057,1111,2010057@student.ruet.ac.bd,Male,ECE,A,2020,1993-12-02,Test,Test,01912153465,1
Sofia Lopez,2010058,1112,2010058@student.ruet.ac.bd,Female,ECE,A,2020,1992-03-16,Test,Test,01912153465,1
Zachary Harris,2010059,1113,2010059@student.ruet.ac.bd,Male,ECE,A,2020,1991-06-29,Test,Test,01912153465,1
Avery Martinez,2010060,1114,2010060@student.ruet.ac.bd,Female,ECE,A,2020,1990-09-01,Test,Test,01912153465,1
Isaac Thompson,2010061,1115,2010061@student.ruet.ac.bd,Male,ECE,A,2020,1995-12-15,Test,Test,01912153465,1
